,Date,Open,Low,High,Close,Volume
5231,2020-08-17,337.94,336.8517,338.34,337.91,34496002.0
5232,2020-08-18,338.34,336.61,339.1,338.64,38733908.0
5233,2020-08-19,339.05,336.62,339.61,337.23,68054244.0
5234,2020-08-20,335.36,335.22,338.8,338.28,42207826.0
5235,2020-08-21,337.92,337.55,339.72,339.48,55106628.0
5236,2020-08-24,342.12,339.4504,343.0,342.92,48588662.0
5237,2020-08-25,343.53,342.27,344.21,344.12,38463381.0
5238,2020-08-26,344.76,344.17,347.86,347.57,50790237.0
5239,2020-08-27,348.51,346.53,349.9,348.33,58034142.0
5240,2020-08-28,349.44,348.15,350.72,350.58,48588940.0
5241,2020-08-31,350.35,349.06,351.3,349.31,66099183.0
5242,2020-09-01,350.21,349.24,352.71,352.6,54999325.0
5243,2020-09-02,354.67,353.43,358.75,357.7,69540035.0
5244,2020-09-03,355.87,342.59,356.38,345.39,148011129.0
5245,2020-09-04,346.13,334.87,347.83,342.57,139156281.0
5246,2020-09-08,336.71,332.88,342.64,333.21,114465322.0
5247,2020-09-09,337.55,336.61,342.46,339.79,91462290.0
5248,2020-09-10,341.82,332.85,342.53,333.89,90569548.0
5249,2020-09-11,335.82,331.0,336.97,334.06,84680194.0
5250,2020-09-14,337.49,334.2208,340.38,338.46,65605686.0
5251,2020-09-15,341.12,338.4683,342.02,340.17,52920862.0
5252,2020-09-16,341.51,338.52,343.06,338.82,82211256.0
5253,2020-09-17,333.56,332.991,337.6996,335.84,91523339.0
5254,2020-09-18,335.37,327.97,335.49,330.65,105877942.0
5255,2020-09-21,325.7,321.73,327.13,326.97,99450829.0
5256,2020-09-22,328.57,325.86,330.9,330.3,63612107.0
5257,2020-09-23,330.9,322.1,331.2,322.64,93112240.0
5258,2020-09-24,321.22,319.8,326.797,323.5,76681332.0
5259,2020-09-25,322.58,321.64,329.58,328.73,71069426.0
5260,2020-09-28,333.22,332.15,334.96,334.19,64584614.0
5261,2020-09-29,333.97,331.6209,334.77,332.37,51531594.0
5262,2020-09-30,333.09,332.88,338.29,334.89,104081136.0
5263,2020-10-01,337.69,335.01,338.74,337.04,88698745.0
5264,2020-10-02,331.7,331.19,337.0126,333.84,89431112.0
5265,2020-10-05,336.06,336.01,339.96,339.76,45713108.0
5266,2020-10-06,339.91,334.38,342.17,334.93,90128883.0
5267,2020-10-07,338.12,338.09,341.63,340.76,56999597.0
5268,2020-10-08,342.85,341.86,343.85,343.78,45242476.0
5269,2020-10-09,345.56,344.89,347.35,346.85,59528606.0
5270,2020-10-12,349.59,349.06,354.02,352.43,80388533.0
5271,2020-10-13,352.28,349.09,352.4651,350.13,73255513.0
5272,2020-10-14,350.75,347.14,351.93,347.93,57958749.0
5273,2020-10-15,343.71,343.13,348.02,347.5,60357659.0
5274,2020-10-16,348.96,347.1,350.75,347.29,89501868.0
5275,2020-10-19,348.65,341.04,349.33,342.01,68425614.0
5276,2020-10-20,343.46,342.64,346.88,343.38,60051880.0
5277,2020-10-21,343.33,342.4,348.6847,342.73,63574979.0
5278,2020-10-22,342.96,340.65,345.24,344.61,55399292.0
5279,2020-10-23,345.93,343.13,345.99,345.78,49143931.0
5280,2020-10-26,342.13,335.62,342.98,339.39,91473002.0
5281,2020-10-27,339.76,337.99,340.12,338.22,65994108.0
5282,2020-10-28,332.1,326.13,338.2483,326.66,127094307.0
5283,2020-10-29,326.91,325.09,333.395,329.98,90597689.0
5284,2020-10-30,328.28,322.6,329.69,326.54,120448685.0
5285,2020-11-02,330.2,327.24,332.36,330.2,86068299.0
5286,2020-11-03,333.69,330.2935,338.25,336.03,93294192.0
5287,2020-11-04,340.86,339.59,347.94,343.54,126959700.0
5288,2020-11-05,349.24,348.86,352.19,350.24,82039749.0
5289,2020-11-06,349.93,347.65,351.51,350.16,74972973.0
5290,2020-11-09,363.97,354.06,364.38,354.56,172304203.0
5291,2020-11-10,353.49,350.51,355.18,354.04,85552022.0
5292,2020-11-11,356.4,355.06,357.56,356.67,58649048.0
5293,2020-11-12,355.58,351.26,356.7182,353.21,68118563.0
5294,2020-11-13,355.27,354.71,358.9,358.1,62959429.0
5295,2020-11-16,360.98,359.59,362.78,362.57,74541138.0
5296,2020-11-17,359.97,358.34,361.92,360.62,66111009.0
5297,2020-11-18,360.91,356.24,361.5,356.28,70591299.0
5298,2020-11-19,355.6,354.15,358.18,357.78,59940947.0
5299,2020-11-20,357.5,355.25,357.72,355.33,70411890.0
5300,2020-11-23,357.28,354.865,358.82,357.46,63230608.0
5301,2020-11-24,360.21,359.29,363.81,363.22,60985003.0
5302,2020-11-25,363.13,361.48,363.16,362.66,45330890.0
5303,2020-11-27,363.84,362.58,364.18,363.67,28514072.0
5304,2020-11-30,362.83,359.17,363.12,362.06,83872709.0
5305,2020-12-01,365.57,364.93,367.68,366.02,72509670.0
5306,2020-12-02,364.82,364.2,366.96,366.79,45927000.0
5307,2020-12-03,366.68,365.5,368.19,366.69,62881998.0
5308,2020-12-04,367.32,367.22,369.85,369.85,50749859.0
